,City,Country,Date,Latitude,Longitude,Maximum Temperature,Wind Speed,Humidity,Cloudiness
170,bang saphan,TH,1605238319,11.21,99.51,81.0,3.36,100,90
171,paamiut,GL,1605238319,61.99,-49.67,30.81,15.52,83,82
172,katsuura,JP,1605238319,35.13,140.3,66.0,5.82,63,20
173,puerto cabezas,NI,1605238319,14.04,-83.39,76.17,7.25,93,69
174,kidal,ML,1605238320,18.44,1.41,66.96,11.45,25,0
175,santa isabel do rio negro,BR,1605238320,-0.41,-65.02,74.79,1.86,95,100
176,chokurdakh,RU,1605238320,70.63,147.92,-14.01,3.89,90,44
177,ashqelon,IL,1605238320,31.67,34.57,64.0,4.7,82,20
178,san policarpo,PH,1605238320,12.18,125.51,84.45,8.32,74,100
179,vezirkopru,TR,1605238321,41.14,35.45,26.6,1.23,86,0
180,bubaque,GW,1605238321,11.28,-15.83,83.86,6.31,70,0
181,wasilla,US,1605238214,61.58,-149.44,32.0,0.54,92,90
182,boyolangu,ID,1605238321,-8.12,111.89,87.37,7.38,66,28
183,udachnyy,RU,1605238322,66.42,112.4,12.2,6.71,92,90
184,westport,US,1605237569,41.14,-73.36,48.2,4.7,87,90
185,te anau,NZ,1605238322,-45.42,167.72,64.15,9.24,41,1
186,chicama,PE,1605237733,-7.84,-79.15,63.25,5.3,83,31
187,itarema,BR,1605238322,-2.92,-39.92,79.16,16.82,78,21
188,kaitangata,NZ,1605237736,-46.28,169.85,63.0,8.99,72,1
189,patur,IN,1605238323,20.45,76.93,79.11,6.78,63,57
190,san jose,US,1605238321,37.34,-121.89,52.0,2.48,72,0
191,spencer,US,1605238323,43.14,-95.14,12.99,6.93,78,1
192,berlevag,NO,1605237714,70.86,29.09,38.37,14.03,80,100
193,sitka,US,1605238323,57.05,-135.33,39.2,11.41,86,90
194,fort nelson,CA,1605238324,58.81,-122.7,3.2,2.24,84,5
195,raymondville,US,1605238137,26.48,-97.78,75.99,9.17,73,90
196,fasa,IR,1605238324,28.94,53.65,53.6,1.83,76,40
